siren,name,description,start_date,status,JuridicalSituation,TypeOfEnterprise,JuridicalForm,JuridicalFormCAC,activity,contact.address,contact.phone,contact.email,contact.TypeOfAddress,contact.MunicipalityFR,contact.Denomination
0550.479.656,Skilith,,9/4/2014,PR,Situation exceptionnelle,Personne morale,Entité étrangère,,,416 Maryland Circle,885-358-5686,,DOM,Telč,Dynazzy
0550.479.658,Topicblab,,9/4/2014,PR,Situation normale,Personne morale,Entité étrangère,,,3 Fulton Lane,912-937-0714,,REGO,Le Teil,Jaxbean
0550.479.653,Yozio,,9/4/2014,AC,Situation normale,Personne morale,Entité nationale,,,82789 Sheridan Park,958-552-9098,,DOM,Ciusul,Innotype
0550.479.655,Topicware,,9/4/2014,IN,Situation exceptionnelle,Personne morale,Entité nationale,,,6 Morrow Trail,810-445-2681,,REGO,Yongfeng,Fivechat
0550.479.658,Mynte,,9/4/2014,AC,Situation normale,Personne physique,Entité nationale,,,25410 Beilfuss Trail,122-646-3188,,REGO,Aki,Realfire
0550.479.657,Mycat,,9/4/2014,PR,Situation normale,Personne physique,Entité nationale,,,7384 Bartillon Crossing,840-283-8172,,REGO,Liren,Zooveo
0550.479.658,Demimbu,,9/4/2014,IN,Situation exceptionnelle,Personne morale,Entité nationale,,,23475 Springs Center,195-863-2852,,REGO,Sijunjung,Eabox
0550.479.655,Meetz,,9/4/2014,RE,Situation normale,Personne morale,Entité étrangère,,,7 Florence Crossing,823-910-6129,,DOM,Ţafas,Fanoodle
0550.479.658,Vinder,,9/4/2014,RE,Situation normale,Personne morale,Entité étrangère,,,4 Mockingbird Way,544-292-1123,,REGO,‘Awartā,Avamm
0550.479.656,Trunyx,,9/4/2014,RE,Situation exceptionnelle,Personne morale,Entité nationale,,,2897 Westridge Lane,638-405-7080,,DOM,Tataouine,Demivee
0550.479.659,Avamm,,9/4/2014,AC,Situation normale,Personne morale,Entité étrangère,,,10869 Graedel Road,255-517-0540,,REGO,Northern Suburbs Mc,Topicshots
0550.479.658,Viva,,9/4/2014,IN,Situation exceptionnelle,Personne morale,Entité nationale,,,4 Granby Place,511-883-8030,,DOM,Kijini,Npath
0550.479.659,Jaxnation,,9/4/2014,RE,Situation normale,Personne morale,Entité étrangère,,,53072 Straubel Place,152-680-7165,,DOM,Dumaguete,Oyoyo
0550.479.658,Kanoodle,,9/4/2014,IN,Situation normale,Personne physique,Entité nationale,,,12444 Anthes Street,454-621-1843,,REGO,Stockholm,Ooba
